store,category,cat_ldi,leader_count,total_groups
alfatah,Cat Food,1.0,1,1
chaseup,Frozen,1.0,5,5
imtiaz,Tea Coffee,1.0,13,13
imtiaz,Frozen,1.0,5,5
metro,Aerosols,1.0,6,6
metro,Air Sprays,1.0,2,2
metro,Antibacterial,1.0,15,15
metro,Anti Perspirants,1.0,2,2
metro,Bath and Soap,1.0,15,15
metro,Bakery,1.0,2,2
metro,Baby,1.0,8,8
metro,Cake Mixes and Baking Add Ons,1.0,8,8
metro,Butter and Margarine,1.0,9,9
metro,Butter,1.0,5,5
metro,Breakfast,1.0,17,17
metro,Breads and Buns,1.0,2,2
metro,Crisps and Popcorn,1.0,4,4
metro,Desserts,1.0,14,14
metro,Detergents and Laundry Soaps,1.0,12,12
metro,Dishwashing Liquids,1.0,8,8
metro,Facewashes,1.0,8,8
metro,Cakes and Chocolates,1.0,6,6
metro,Canned Food,1.0,3,3
metro,Cereals,1.0,2,2
metro,Cheese,1.0,20,20
metro,Cheese and Cream,1.0,23,23
metro,Commodities,1.0,22,22
metro,Conditioners,1.0,7,7
metro,Cooking Essentials,1.0,19,19
metro,Cooking Ingredients,1.0,21,21
metro,Cooking Oil,1.0,14,14
metro,Crisps,1.0,4,4
metro,Frozen Fries,1.0,3,3
metro,Fragrances,1.0,2,2
metro,Fragrant,1.0,1,1
metro,Frozen Food,1.0,11,11
metro,Frozen Meat,1.0,1,1
metro,Disinfectants,1.0,9,9
metro,Flavored Milk,1.0,2,2
metro,Flour,1.0,3,3
metro,Frozen Meat and Seafood,1.0,3,3
metro,Frozen Fruits and Vegetables,1.0,5,5
metro,Health and Beauty,1.0,46,46
metro,Home Appliances,1.0,1,1
metro,Hand and Body Washes,1.0,2,2
metro,Grocery,1.0,19,19
metro,Frozen Seafood,1.0,1,1
metro,Frozen Ready to Cook,1.0,10,10
springs,Shampoo & Conditioner,1.0,29,29
springs,Shaving Foam/cream & Razors,1.0,2,2
springs,Shoe Care,1.0,2,2
springs,Mineral & Flavored Water,1.0,5,5
springs,Mist/roll On & Deos,1.0,4,4
springs,Mouth Wash,1.0,2,2
metro,Home Baking,1.0,8,8
metro,House Cleaning,1.0,12,12
metro,Juices,1.0,8,8
metro,Household,1.0,26,26
metro,Ice Cream,1.0,7,7
metro,Jellies and Custards,1.0,4,4
metro,Kitchen Cleaning,1.0,13,13
metro,Kebab and Koftas,1.0,2,2
metro,Milk,1.0,22,22
metro,Men Grooming,1.0,1,1
metro,Oral Care,1.0,11,11
metro,Packaged Food,1.0,3,3
metro,Miscellaneous,1.0,1,1
metro,Nuggets and Snacks,1.0,8,8
metro,Nutritional Drinks,1.0,1,1
metro,Oil and Ghee,1.0,18,18
metro,Oils and Serums,1.0,6,6
metro,Olive Oil,1.0,5,5
metro,Powder Drinks,1.0,1,1
metro,Pulses,1.0,1,1
metro,Packaged Spices,1.0,4,4
metro,Plain Yogurt and Flavored yogurt,1.0,3,3
metro,Red Syrups,1.0,4,4
metro,Red Syrups and Squashes,1.0,7,7
metro,Salt and Pepper,1.0,1,1
metro,Rice,1.0,7,7
metro,UHT and Pasteurized Milk,1.0,10,10
metro,Vinegars and Sauces,1.0,14,14
metro,Samosas and Rolls,1.0,2,2
metro,Sauces and Seasonings,1.0,20,20
metro,Seasonings,1.0,7,7
metro,Shampoos,1.0,24,24
metro,Shoe Polish,1.0,3,3
metro,Skin Care,1.0,16,16
metro,Snacks,1.0,11,11
metro,Soft Drinks,1.0,20,20
metro,Spices and Herbs,1.0,19,19
metro,Sugar,1.0,2,2
metro,Tea,1.0,10,10
metro,Tea and Coffee,1.0,12,12
metro,Toilet Supplies,1.0,2,2
metro,Toiletries,1.0,8,8
naheed,Tea Coffee,1.0,13,13
springs,After Shave,1.0,1,1
metro,Water,1.0,1,1
metro,Women Care,1.0,7,7
springs,Baby Lotion,1.0,1,1
naheed,Kitchen Appliances,1.0,2,2
springs,Cheese & Cream,1.0,23,23
springs,Cleaning,1.0,34,34
springs,"Cereals, Oats & Granolas",1.0,4,4
springs,Cat Food,1.0,1,1
springs,Canned & Packaged Food,1.0,3,3
springs,Car Care & Accessories,1.0,1,1
springs,Butter & Margarine,1.0,14,14
springs,Bread Crumbs,1.0,1,1
springs,Bread & Dough,1.0,4,4
springs,Bodyspray,1.0,4,4
springs,"Sports, Energy & Wellness Drinks",1.0,2,2
springs,"Sugar,sweet Recepie,baking & Dessert",1.0,25,25
springs,Talcum Powder/prickly Heat Powder,1.0,1,1
springs,Shower Gel,1.0,3,3
springs,Skincare,1.0,1,1
springs,Soap & Hand Wash,1.0,23,23
springs,Oil & Ghee,1.0,34,34
springs,Pasta Noodles & Vermicelli,1.0,4,4
springs,Perfumery Range,1.0,1,1
springs,Pest Control,1.0,8,8
springs,"Chips, Snacks & Popcorn",1.0,7,7
springs,Chocolates,1.0,7,7
springs,Face & Skin Care,1.0,27,27
springs,Fabric Freshner & Stain Remover,1.0,4,4
springs,Fish & Sea Food,1.0,2,2
springs,Flavoring Syrup & Powder,1.0,10,10
springs,Kitchen Appliances,1.0,2,2
springs,Food Color & Essence,1.0,1,1
springs,Fruits & Vegetables,1.0,3,3
springs,Hair Oil,1.0,6,6
springs,Home Appliances,1.0,1,1
springs,Hair Remover/nail Remover,1.0,5,5
springs,Home Fragrance & Air Freshener,1.0,3,3
springs,Ice Cream & Ice Lollies,1.0,7,7
springs,"Masala, Herbs & Seasoning",1.0,24,24
springs,"Jam, Honey & Spreads",1.0,12,12
springs,"Juices, Malts & Smoothies",1.0,8,8
springs,Ketchups & Mayonnaise,1.0,7,7
springs,Lips,1.0,1,1
springs,"Milk,flavor Milk & Tea Whitener",1.0,23,23
springs,Men,1.0,1,1
springs,Meat & Poultry,1.0,8,8
springs,Yogurt,1.0,7,7
springs,Tea & Coffee,1.0,18,18
springs,Wraps & Pittas,1.0,1,1
springs,Ready To Cook & Desserts,1.0,6,6
springs,Rice & Flour,1.0,9,9
springs,Salt,1.0,2,2
springs,Soft Drinks & Soda,1.0,25,25
springs,Soups & Cubes,1.0,1,1
springs,Toothpaste,1.0,10,10
springs,Women,1.0,1,1
springs,Prescription,1.0,1,1
springs,Sexual Wellness,1.0,15,15
springs,"Sauces, Pickles & Pastes",1.0,19,19
naheed,Sexual Wellness,0.9333,14,15
springs,Baby Milk,0.9167,11,12
metro,Baby Milk,0.9167,11,12
metro,Hair Care,0.8966,26,29
naheed,Juices,0.875,7,8
metro,Baby Food,0.8571,12,14
metro,Dairy,0.8293,34,41
springs,Laundry,0.8,28,35
metro,Laundry,0.7143,25,35
metro,Yogurt,0.7143,5,7
metro,Beverages,0.6724,39,58
naheed,Breakfast,0.5882,10,17
springs,Baby Food,0.5714,8,14
naheed,Beverages,0.4138,24,58
imtiaz,Beverages,0.4138,24,58
imtiaz,Dairy,0.2439,10,41
naheed,Dairy,0.2439,10,41
springs,Hair Care,0.2069,6,29
naheed,Hair Care,0.1034,3,29
